#-----------------------------------------------------------
H Yields and prompt fractions for [Lambda_c -> p+ K- pi+]cc
#-----------------------------------------------------------
v|     y      |   pt   |      N_lc      |      fp_lc       |
#-----------------------------------------------------------
 | 2.25, 2.75 |  6,  7 |  60737 +-  280 | 0.8349 +- 0.0034 |
 | 2.25, 2.75 |  7,  8 |  83618 +-  326 | 0.8206 +- 0.0031 |
 | 2.25, 2.75 |  8,  9 |  94089 +-  343 | 0.8118 +- 0.0029 |
 | 2.25, 2.75 |  9, 10 |  92000 +-  336 | 0.8284 +- 0.0029 |
 | 2.25, 2.75 | 10, 12 | 145864 +-  424 | 0.8239 +- 0.0023 |
 | 2.25, 2.75 | 12, 15 | 114922 +-  378 | 0.8263 +- 0.0025 |
 | 2.25, 2.75 | 15, 20 |  53665 +-  266 | 0.8350 +- 0.0038 |
#-----------------------------------------------------------
 | 2.75, 3.25 |  5,  6 |  48372 +-  246 | 0.8471 +- 0.0039 |
 | 2.75, 3.25 |  6,  7 |  70776 +-  292 | 0.8258 +- 0.0032 |
 | 2.75, 3.25 |  7,  8 |  87695 +-  322 | 0.8319 +- 0.0030 |
 | 2.75, 3.25 |  8,  9 |  92488 +-  330 | 0.8400 +- 0.0028 |
 | 2.75, 3.25 |  9, 10 |  86828 +-  317 | 0.8282 +- 0.0029 |
 | 2.75, 3.25 | 10, 12 | 128619 +-  387 | 0.8195 +- 0.0024 |
 | 2.75, 3.25 | 12, 15 |  91838 +-  329 | 0.8456 +- 0.0027 |
 | 2.75, 3.25 | 15, 20 |  36605 +-  211 | 0.8234 +- 0.0043 |
#-----------------------------------------------------------
 | 3.25, 3.75 |  3,  4 |  14667 +-  150 | 0.8396 +- 0.0078 |
 | 3.25, 3.75 |  4,  5 |  37989 +-  234 | 0.8525 +- 0.0048 |
 | 3.25, 3.75 |  5,  6 |  62586 +-  289 | 0.8262 +- 0.0037 |
 | 3.25, 3.75 |  6,  7 |  79981 +-  321 | 0.8140 +- 0.0033 |
 | 3.25, 3.75 |  7,  8 |  83116 +-  323 | 0.8186 +- 0.0031 |
 | 3.25, 3.75 |  8,  9 |  72291 +-  300 | 0.8466 +- 0.0030 |
 | 3.25, 3.75 |  9, 10 |  55259 +-  261 | 0.8491 +- 0.0034 |
 | 3.25, 3.75 | 10, 12 |  60587 +-  274 | 0.8427 +- 0.0032 |
#-----------------------------------------------------------
 | 3.75, 4.25 |  4,  5 |  16103 +-  178 | 0.8053 +- 0.0074 |
 | 3.75, 4.25 |  5,  6 |  22814 +-  199 | 0.8128 +- 0.0067 |
 | 3.75, 4.25 |  6,  7 |  23644 +-  198 | 0.8610 +- 0.0055 |
 | 3.75, 4.25 |  7,  8 |  18261 +-  172 | 0.8490 +- 0.0065 |
 | 3.75, 4.25 |  8,  9 |  10885 +-  130 | 0.8402 +- 0.0088 |
#-----------------------------------------------------------
