#---------------------------------------------------------
H Yields and prompt fractions for Lambda_c(2625)+
#---------------------------------------------------------
v|     y      |   pt   |      N_lst2    |     fp_lst2    |
#---------------------------------------------------------
 | 2.25, 2.75 |  6,  7 |    231 +-   18 | 0.911 +- 0.043 |
 | 2.25, 2.75 |  7,  8 |    487 +-   32 | 0.845 +- 0.032 |
 | 2.25, 2.75 |  8,  9 |    722 +-   46 | 0.887 +- 0.029 |
 | 2.25, 2.75 |  9, 10 |    889 +-   36 | 0.957 +- 0.018 |
 | 2.25, 2.75 | 10, 12 |   1637 +-   50 | 0.898 +- 0.017 |
 | 2.25, 2.75 | 12, 15 |   1529 +-   60 | 0.951 +- 0.017 |
 | 2.25, 2.75 | 15, 20 |    765 +-   42 | 0.939 +- 0.025 |
#---------------------------------------------------------
 | 2.75, 3.25 |  5,  6 |    439 +-   35 | 0.898 +- 0.038 |
 | 2.75, 3.25 |  6,  7 |    874 +-   42 | 0.910 +- 0.024 |
 | 2.75, 3.25 |  7,  8 |   1301 +-   51 | 1.000 +- 0.180 |
 | 2.75, 3.25 |  8,  9 |   1627 +-   52 | 0.937 +- 0.016 |
 | 2.75, 3.25 |  9, 10 |   1568 +-   66 | 0.964 +- 0.016 |
 | 2.75, 3.25 | 10, 12 |   2623 +-   80 | 0.908 +- 0.012 |
 | 2.75, 3.25 | 12, 15 |   1961 +-   54 | 0.933 +- 0.013 |
 | 2.75, 3.25 | 15, 20 |    656 +-   40 | 0.933 +- 0.023 |
#---------------------------------------------------------
 | 3.25, 3.75 |  3,  4 |    125 +-   22 | 1.000 +- 0.001 |
 | 3.25, 3.75 |  4,  5 |    484 +-   40 | 0.994 +- 0.004 |
 | 3.25, 3.75 |  5,  6 |    824 +-   50 | 0.948 +- 0.033 |
 | 3.25, 3.75 |  6,  7 |   1373 +-   55 | 0.934 +- 0.018 |
 | 3.25, 3.75 |  7,  8 |   1544 +-   56 | 0.891 +- 0.020 |
 | 3.25, 3.75 |  8,  9 |   1384 +-   50 | 0.936 +- 0.017 |
 | 3.25, 3.75 |  9, 10 |   1052 +-   55 | 0.993 +- 0.017 |
 | 3.25, 3.75 | 10, 12 |   1245 +-   47 | 0.956 +- 0.018 |
#---------------------------------------------------------
 | 3.75, 4.25 |  4,  5 |    184 +-   56 | 0.979 +- 0.027 |
 | 3.75, 4.25 |  5,  6 |    284 +-   33 | 0.813 +- 0.065 |
 | 3.75, 4.25 |  6,  7 |    333 +-   30 | 1.000 +- 0.000 |
 | 3.75, 4.25 |  7,  8 |    336 +-   27 | 0.950 +- 0.067 |
 | 3.75, 4.25 |  8,  9 |    194 +-   20 | 0.923 +- 0.066 |
#---------------------------------------------------------
