#---------------------------------------------------------
H Yields and prompt fractions for Sigma_c0
#---------------------------------------------------------
v|     y      |   pt   |      N_sc0     |     fp_sc0     |
#---------------------------------------------------------
 | 2.25, 2.75 |  6,  7 |   1376 +-   63 | 0.900 +- 0.022 |
 | 2.25, 2.75 |  7,  8 |   2362 +-   82 | 0.821 +- 0.021 |
 | 2.25, 2.75 |  8,  9 |   2969 +-   91 | 0.821 +- 0.019 |
 | 2.25, 2.75 |  9, 10 |   3131 +-   96 | 0.871 +- 0.017 |
 | 2.25, 2.75 | 10, 12 |   5221 +-  160 | 0.884 +- 0.013 |
 | 2.25, 2.75 | 12, 15 |   4309 +-  112 | 0.889 +- 0.014 |
 | 2.25, 2.75 | 15, 20 |   2027 +-   75 | 0.900 +- 0.024 |
#---------------------------------------------------------
 | 2.75, 3.25 |  5,  6 |   1964 +-   87 | 0.869 +- 0.023 |
 | 2.75, 3.25 |  6,  7 |   3236 +-  110 | 0.860 +- 0.019 |
 | 2.75, 3.25 |  7,  8 |   4291 +-  118 | 0.863 +- 0.016 |
 | 2.75, 3.25 |  8,  9 |   4572 +-  123 | 0.889 +- 0.014 |
 | 2.75, 3.25 |  9, 10 |   4282 +-  114 | 0.850 +- 0.016 |
 | 2.75, 3.25 | 10, 12 |   6673 +-  139 | 0.862 +- 0.013 |
 | 2.75, 3.25 | 12, 15 |   4331 +-  112 | 0.897 +- 0.014 |
 | 2.75, 3.25 | 15, 20 |   1565 +-   66 | 0.893 +- 0.027 |
#---------------------------------------------------------
 | 3.25, 3.75 |  3,  4 |    523 +-   51 | 0.996 +- 0.010 |
 | 3.25, 3.75 |  4,  5 |   1989 +-  100 | 1.000 +- 0.536 |
 | 3.25, 3.75 |  5,  6 |   3405 +-  121 | 0.884 +- 0.019 |
 | 3.25, 3.75 |  6,  7 |   4484 +-  130 | 0.842 +- 0.018 |
 | 3.25, 3.75 |  7,  8 |   4258 +-  122 | 0.858 +- 0.017 |
 | 3.25, 3.75 |  8,  9 |   3952 +-  111 | 0.894 +- 0.015 |
 | 3.25, 3.75 |  9, 10 |   2687 +-   95 | 0.894 +- 0.018 |
 | 3.25, 3.75 | 10, 12 |   3027 +-   94 | 0.927 +- 0.016 |
#---------------------------------------------------------
 | 3.75, 4.25 |  4,  5 |    637 +-   62 | 0.833 +- 0.064 |
 | 3.75, 4.25 |  5,  6 |   1193 +-   76 | 0.814 +- 0.041 |
 | 3.75, 4.25 |  6,  7 |   1178 +-   68 | 0.905 +- 0.034 |
 | 3.75, 4.25 |  7,  8 |    889 +-   57 | 0.886 +- 0.033 |
 | 3.75, 4.25 |  8,  9 |    474 +-   55 | 0.890 +- 0.046 |
#---------------------------------------------------------
