#---------------------------------------------------------
H Yields and prompt fractions for Sigma_c++
#---------------------------------------------------------
v|     y      |   pt   |     N_scpp     |    fp_scpp     |
#---------------------------------------------------------
 | 2.25, 2.75 |  6,  7 |   1401 +-   58 | 0.827 +- 0.026 |
 | 2.25, 2.75 |  7,  8 |   2427 +-   74 | 0.903 +- 0.017 |
 | 2.25, 2.75 |  8,  9 |   2895 +-   81 | 0.894 +- 0.017 |
 | 2.25, 2.75 |  9, 10 |   3045 +-   84 | 0.920 +- 0.015 |
 | 2.25, 2.75 | 10, 12 |   5206 +-  134 | 0.892 +- 0.012 |
 | 2.25, 2.75 | 12, 15 |   4454 +-  101 | 0.925 +- 0.012 |
 | 2.25, 2.75 | 15, 20 |   2071 +-   68 | 0.923 +- 0.017 |
#---------------------------------------------------------
 | 2.75, 3.25 |  5,  6 |   1994 +-   78 | 0.898 +- 0.021 |
 | 2.75, 3.25 |  6,  7 |   3232 +-  110 | 0.895 +- 0.016 |
 | 2.75, 3.25 |  7,  8 |   4428 +-  108 | 0.917 +- 0.012 |
 | 2.75, 3.25 |  8,  9 |   4598 +-  127 | 0.930 +- 0.012 |
 | 2.75, 3.25 |  9, 10 |   4444 +-  106 | 0.909 +- 0.013 |
 | 2.75, 3.25 | 10, 12 |   6347 +-  126 | 0.914 +- 0.011 |
 | 2.75, 3.25 | 12, 15 |   4461 +-  104 | 0.945 +- 0.011 |
 | 2.75, 3.25 | 15, 20 |   1659 +-   64 | 0.909 +- 0.020 |
#---------------------------------------------------------
 | 3.25, 3.75 |  3,  4 |    600 +-  306 | 1.000 +- 0.000 |
 | 3.25, 3.75 |  4,  5 |   1883 +-   89 | 0.924 +- 0.025 |
 | 3.25, 3.75 |  5,  6 |   3455 +-  108 | 0.918 +- 0.019 |
 | 3.25, 3.75 |  6,  7 |   4337 +-  114 | 0.928 +- 0.014 |
 | 3.25, 3.75 |  7,  8 |   4503 +-  114 | 0.892 +- 0.014 |
 | 3.25, 3.75 |  8,  9 |   3779 +-  100 | 0.938 +- 0.013 |
 | 3.25, 3.75 |  9, 10 |   3005 +-   87 | 0.897 +- 0.015 |
 | 3.25, 3.75 | 10, 12 |   2963 +-   88 | 0.932 +- 0.015 |
#---------------------------------------------------------
 | 3.75, 4.25 |  4,  5 |    938 +-   73 | 0.939 +- 0.029 |
 | 3.75, 4.25 |  5,  6 |   1164 +-   65 | 0.807 +- 0.045 |
 | 3.75, 4.25 |  6,  7 |   1211 +-   65 | 0.865 +- 0.028 |
 | 3.75, 4.25 |  7,  8 |    788 +-   51 | 0.976 +- 0.022 |
 | 3.75, 4.25 |  8,  9 |    506 +-   54 | 0.914 +- 0.045 |
#---------------------------------------------------------
